id;nom;contact;email;telephone;pays
1;Supplier_1;Contact_1;supplier1@supply.com;+33293852920;China
2;Supplier_2;Contact_2;supplier2@supply.com;+33249035647;China
3;Supplier_3;Contact_3;supplier3@supply.com;+33252829582;Spain
4;Supplier_4;Contact_4;supplier4@supply.com;+33204218346;Spain
5;Supplier_5;Contact_5;supplier5@supply.com;+33261431120;Spain
6;Supplier_6;Contact_6;supplier6@supply.com;+33246884754;Italy
7;Supplier_7;Contact_7;supplier7@supply.com;+33283379811;Spain
8;Supplier_8;Contact_8;supplier8@supply.com;+33211524217;UK
9;Supplier_9;Contact_9;supplier9@supply.com;+33230717847;France
10;Supplier_10;Contact_10;supplier10@supply.com;+33222919530;USA
11;Supplier_11;Contact_11;supplier11@supply.com;+33252073536;Spain
12;Supplier_12;Contact_12;supplier12@supply.com;+33247878943;Italy
13;Supplier_13;Contact_13;supplier13@supply.com;+33229731980;Japan
14;Supplier_14;Contact_14;supplier14@supply.com;+33284065081;Germany
15;Supplier_15;Contact_15;supplier15@supply.com;+33232676719;Italy
16;Supplier_16;Contact_16;supplier16@supply.com;+33202416826;Italy
17;Supplier_17;Contact_17;supplier17@supply.com;+33255546284;Netherlands
18;Supplier_18;Contact_18;supplier18@supply.com;+33251340571;USA
19;Supplier_19;Contact_19;supplier19@supply.com;+33208499970;Japan
20;Supplier_20;Contact_20;supplier20@supply.com;+33222311047;UK
